patch,min_x,max_x,min_y,max_y,min_z,max_z,label,z_diff,class
patch_0_21.png,698.7520141601562,701.7520141601562,972.3250122070312,975.3250122070312,20.55900001525879,39.5260009765625,none,18.96700096130371,4
patch_0_22.png,701.7520141601562,704.7520141601562,972.3250122070312,975.3250122070312,20.350000381469727,38.99399948120117,none,18.643999099731445,4
patch_0_23.png,704.7520141601562,707.7520141601562,972.3250122070312,975.3250122070312,20.68199920654297,26.61100006103516,none,5.929000854492191,4
patch_1_20.png,695.7520141601562,698.7520141601562,975.3250122070312,978.3250122070312,24.450000762939453,25.972000122070312,none,1.5219993591308594,4
patch_1_21.png,698.7520141601562,701.7520141601562,975.3250122070312,978.3250122070312,20.333999633789062,38.8390007019043,low_noise,18.505001068115234,4
patch_1_22.png,701.7520141601562,704.7520141601562,975.3250122070312,978.3250122070312,20.73500061035156,28.20400047302246,high_noise,7.468999862670902,4
patch_1_23.png,704.7520141601562,707.7520141601562,975.3250122070312,978.3250122070312,20.492000579833984,29.84499931335449,high_noise,9.352998733520504,4
patch_1_24.png,707.7520141601562,710.7520141601562,975.3250122070312,978.3250122070312,26.71999931335449,30.35300064086914,none,3.633001327514652,4
patch_2_19.png,692.7520141601562,695.7520141601562,978.3250122070312,981.3250122070312,29.517000198364254,30.511999130249023,none,0.9949989318847692,4
patch_2_20.png,695.7520141601562,698.7520141601562,978.3250122070312,981.3250122070312,24.983999252319336,30.613000869750977,none,5.629001617431641,4
patch_2_21.png,698.7520141601562,701.7520141601562,978.3250122070312,981.3250122070312,20.12700080871582,27.86899948120117,flat,7.741998672485348,4
patch_2_22.png,701.7520141601562,704.7520141601562,978.3250122070312,981.3250122070312,20.54199981689453,28.858999252319336,high_noise,8.316999435424805,4
patch_2_23.png,704.7520141601562,707.7520141601562,978.3250122070312,981.3250122070312,27.90399932861328,29.833999633789062,high_noise,1.9300003051757812,3
patch_2_24.png,707.7520141601562,710.7520141601562,978.3250122070312,981.3250122070312,27.83300018310547,30.525999069213867,high_noise,2.6929988861083984,4
patch_2_25.png,710.7520141601562,713.7520141601562,978.3250122070312,981.3250122070312,21.15399932861328,30.141000747680664,none,8.987001419067383,4
patch_3_19.png,692.7520141601562,695.7520141601562,981.3250122070312,984.3250122070312,29.267000198364254,31.40800094604492,none,2.141000747680664,4
patch_3_20.png,695.7520141601562,698.7520141601562,981.3250122070312,984.3250122070312,25.801000595092773,31.13400077819824,high_noise,5.333000183105465,4
patch_3_21.png,698.7520141601562,701.7520141601562,981.3250122070312,984.3250122070312,20.572999954223636,30.65900039672852,flat,10.086000442504883,4
