image,label
patch_9_25.png,high_noise
patch_38_20.png,low_noise
patch_23_30.png,high_noise
patch_21_40.png,high_noise
patch_8_29.png,high_noise
patch_28_25.png,low_noise
patch_16_36.png,noise_sin
patch_65_4.png,flat
patch_17_18.png,high_noise
patch_22_11.png,low_noise
patch_16_33.png,noise_sin
patch_4_22.png,noise_sin
patch_13_28.png,low_noise
patch_42_9.png,high_noise
patch_49_7.png,high_noise
patch_65_6.png,high_noise
patch_63_7.png,high_noise
patch_9_42.png,noise_sin
patch_13_13.png,high_noise
patch_51_5.png,flat
patch_75_11.png,none
patch_15_12.png,low_noise
patch_9_22.png,low_noise
patch_69_14.png,none
patch_6_36.png,high_noise
patch_49_23.png,high_noise
patch_20_15.png,low_noise
patch_10_37.png,noise_sin
patch_2_37.png,none
patch_20_12.png,high_noise
patch_37_27.png,high_noise
patch_8_22.png,noise_sin
patch_12_21.png,high_noise
patch_22_22.png,low_noise
patch_1_31.png,none
patch_54_1.png,noise_sin
patch_51_21.png,high_noise
patch_54_20.png,high_noise
patch_10_38.png,high_noise
patch_16_15.png,high_noise
patch_26_37.png,high_noise
patch_18_29.png,high_noise
patch_55_7.png,low_noise
patch_12_35.png,noise_sin
patch_51_23.png,high_noise
patch_38_19.png,high_noise
patch_5_42.png,none
patch_39_29.png,high_noise
patch_50_11.png,low_noise
patch_54_0.png,low_noise
patch_65_14.png,high_noise
patch_37_24.png,noise_sin
patch_54_22.png,high_noise
patch_30_33.png,flat
patch_51_20.png,high_noise
patch_9_21.png,high_noise
patch_46_26.png,high_noise
patch_8_18.png,low_noise
patch_40_16.png,high_noise
patch_61_12.png,flat
patch_48_9.png,high_noise
patch_14_31.png,noise_sin
patch_20_21.png,high_noise
patch_62_13.png,high_noise
patch_47_28.png,none
patch_45_4.png,high_noise
patch_17_29.png,high_noise
patch_53_16.png,high_noise
patch_35_31.png,high_noise
patch_42_26.png,high_noise
patch_28_31.png,high_noise
patch_22_38.png,high_noise
patch_18_16.png,low_noise
patch_21_16.png,low_noise
patch_40_27.png,high_noise
patch_46_2.png,high_noise
patch_41_15.png,low_noise
patch_60_4.png,low_noise
patch_46_27.png,high_noise
patch_3_32.png,high_noise
patch_41_16.png,low_noise
patch_22_24.png,flat
patch_44_19.png,flat
patch_11_27.png,high_noise
patch_46_20.png,low_noise
patch_18_36.png,high_noise
patch_28_11.png,low_noise
patch_11_19.png,high_noise
patch_29_22.png,low_noise
patch_12_16.png,noise_sin
patch_25_17.png,high_noise
patch_36_24.png,noise_sin
patch_57_5.png,noise_sin
patch_48_10.png,noise_sin
patch_30_10.png,high_noise
patch_48_18.png,flat
patch_21_12.png,high_noise
patch_45_10.png,low_noise
patch_14_27.png,high_noise
patch_22_25.png,low_noise
patch_19_43.png,high_noise
patch_60_13.png,low_noise
patch_11_25.png,low_noise
patch_33_28.png,high_noise
patch_56_18.png,high_noise
patch_17_23.png,high_noise
patch_21_33.png,noise_sin
patch_13_34.png,low_noise
patch_3_39.png,none
patch_4_36.png,noise_sin
patch_67_8.png,high_noise
patch_23_14.png,low_noise
patch_21_38.png,high_noise
patch_49_18.png,low_noise
patch_5_38.png,flat
patch_73_12.png,none
patch_46_5.png,low_noise
patch_25_32.png,high_noise
patch_52_14.png,flat
patch_0_23.png,none
patch_37_16.png,noise_sin
patch_60_1.png,low_noise
patch_41_26.png,high_noise
patch_12_24.png,noise_sin
patch_21_11.png,high_noise
patch_40_28.png,high_noise
patch_11_42.png,noise_sin
patch_46_13.png,low_noise
patch_15_25.png,low_noise
patch_60_16.png,high_noise
patch_15_18.png,low_noise
patch_35_20.png,high_noise
patch_70_9.png,high_noise
patch_9_41.png,high_noise
patch_18_14.png,high_noise
patch_0_26.png,none
patch_12_30.png,high_noise
patch_54_19.png,high_noise
patch_30_13.png,low_noise
patch_47_15.png,flat
patch_52_22.png,high_noise
patch_59_18.png,high_noise
patch_54_21.png,high_noise
patch_31_27.png,low_noise
patch_61_3.png,flat
patch_0_22.png,none
patch_4_35.png,high_noise
patch_8_17.png,none
patch_42_22.png,low_noise
patch_23_28.png,high_noise
patch_54_18.png,flat
patch_69_12.png,high_noise
patch_33_11.png,noise_sin
patch_43_23.png,low_noise
patch_2_34.png,none
patch_72_10.png,none
patch_60_0.png,none
patch_2_29.png,high_noise
patch_69_10.png,high_noise
patch_64_11.png,high_noise
patch_36_32.png,high_noise
patch_70_12.png,high_noise
patch_44_7.png,high_noise
patch_9_26.png,noise_sin
patch_50_24.png,high_noise
patch_61_5.png,noise_sin
